;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz
Length=32
Pinyin=@
PinyinLength=32
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
a	安
aadb	嗷嗷待哺
aajj	安安静静
aakc	AA 制
aapp	矮矮胖胖
aaqq	安安全全
aaww	安安稳稳
aaxx	安安心心
aban	爱不爱
abbd	按兵不动
abbu	哀兵必胜
abdg	安邦定国
abdv	安步当车
abdy	阿鼻地狱
abgu	熬不过
abgu	拗不过
abhz	阿布哈兹
abib	阿布扎比
abij	熬不住
abjb	按部就班
abjv	矮半截
ablk	爱别离苦
ablm	鞍不离马
ablu	阿波罗
abuu	爱不释手
acle	按错了
acrk	爱才若渴
acrm	爱财如命
acuj	暗藏杀机
acxj	暗藏玄机
adeh	安道尔
adln	按道理
adln	奥地利
adly	澳大利亚
advc	暗渡陈仓
adwg	暗淡无光
adwn	安度晚年
aeby	阿尔巴尼亚
aefy	阿尔法
aeje	阿尔及尔
aejy	阿尔及利亚
aelo	爱尔兰
afet	埃菲尔铁塔
afgq	阿房宫
afho	阿富汗
aftn	阿凡提
afuj	安分守己
agie	爱国者
agiy	爱国主义
agjy	爱岗敬业
agly	安哥拉
agtl	阿根廷
aguy	熬更守夜
ahby	哀鸿遍野
ahie	爱好者
ahqv	爱恨情仇
ahrv	安好如初
ahui	安徽省
aibo	安装版
aiew	安枕而卧
aiff	安知非福
aims	暗中摸索
airs	安之若素
aiwy	安枕无忧
aiyu	爱之欲其生
ajah	挨家挨户
ajcb	挨肩擦背
ajle	安静了
ajlh	安家落户
ajly	安居乐业
ajmd	阿基米德
ajnf	暗箭难防
ajsh	氨基酸
ajur	暗箭伤人
akbk	爱看不看
albb	阿里巴巴
albg	阿拉伯联合酋长国
albl	爱理不理
albu	阿拉伯
alby	阿鲁巴
albz	阿拉伯数字
aldl	阿拉丁
alfp	按劳分配
algp	奥力给
alhk	安理会
alpk	奥林匹克
alqb	阿联酋
alqv	按劳取酬
alsn	安乐死
aluo	阿里山
aluu	按理说
alwu	安乐窝
amag	阿猫阿狗
amds	哀莫大于心死
amih	挨门逐户
amix	爱美之心
amld	鞍马劳顿
amni	爱莫能助
amrz	爱民如子
amsd	阿姆斯特丹
amtf	阿弥陀佛
amwq	奥妙无穷
amxr	爱慕虚荣
amya	安眠药
amzn	爱面子
an	爱
an	埃
an	艾
an	碍
an	哀
an	癌
an	挨
an	矮
an	唉
an	哎
an	隘
an	蔼
an	暧
an	嗳
an	皑
an	霭
an	嗌
an	砹
an	嫒
an	瑷
an	锿
an	叆
an	欸
an	毐
an	捱
an	礙
an	騃
an	鴱
an	靉
an	賹
an	硙
an	磑
an	鑀
an	薆
an	靄
an	㑸
an	㕌
an	㗒
an	㗨
an	㘷
an	㝶
an	㢊
an	㤅
an	㱯
an	㿄
an	䀳
an	䅬
an	䑂
an	䔽
an	䝽
an	䨠
an	䬵
an	䶣
an	伌
an	僾
an	凒
an	啀
an	嘊
an	噯
an	堨
an	塧
an	壒
an	娭
an	娾
an	嬡
an	嵦
an	愛
an	懓
an	懝
an	敱
an	敳
an	昹
an	曖
an	欬
an	溰
an	溾
an	濭
an	焥
an	璦
an	皚
an	皧
an	瞹
an	硋
an	絠
an	藹
an	諰
an	譪
an	譺
an	躷
an	銰
an	鎄
an	隑
an	餲
an	馤
an	鱫
an	㦈
an	㱼
an	㶼
anai	䅬
anan	矮矮
ananpsps	矮矮胖胖
anap	焥
anap	馤
anav	㶼
anbc	癌变
anbi	按捺不住
anbjan	爱不爱
anbjunut	爱不释手
anblbnui	哀兵必胜
anbojv	矮半截
anbvlnkj	爱别离苦
anby	懊恼不已
ancn	鴱
ancp	蔼
ancp	䔽
ancp	藹
ancs	艾
ancx	爱才
ancxrjml	爱财如命
ancxruke	爱才若渴
ancy	薆
anda	哀悼
andi	濭
andm	㱯
andm	凒
andm	溰
ando	溾
andx	爱戴
andy	挨打
anee	挨饿
anehlo	爱尔兰
anei	隘
anek	叆
anek	敱
anem	嵦
anem	隑
aney	敳
anfj	爱抚
anfk	锿
anfk	鎄
anfp	爱妃
anfpehtvty	埃菲尔铁塔
anfs	銰
anfy	鑀
anfy	挨罚
anga	哀告
ange	挨个
angk	爱
angs	爱岗
angsjlye	爱岗敬业
