# Simplified Chinese character-reading weights extracted from Baishuang 8105.
# Columns: character<TAB>sit_initial_key<TAB>source_weight<TAB>pinyin
俺	a	3312	an
傲	a	343	ao
凹	a	671	ao
卬	a	99	ang
叆	a	4	ai
吖	a	367	a
哀	a	943	ai
哎	a	9070	ai
唉	a	7469	ai
唵	a	22	an
啊	a	241987	a
嗌	a	5	ai
嗳	a	35	ai
嗷	a	1515	ao
坳	a	42	ao
垵	a	3	an
埃	a	532	ai
埯	a	10	an
奡	a	2	ao
奥	a	2782	ao
媪	a	23	ao
嫒	a	3	ai
安	a	3865	an
岙	a	18	ao
岸	a	273	an
嶅	a	0	ao
庵	a	225	an
廒	a	2	ao
懊	a	6	ao
拗	a	56	ao
按	a	40007	an
挨	a	1367	ai
敖	a	224	ao
昂	a	663	ang
暗	a	1242	an
暧	a	39	ai
案	a	3123	an
桉	a	46	an
欸	a	171	ai
毐	a	37	ai
氨	a	542	an
澳	a	512	ao
熬	a	2431	ao
爱	a	27194	ai
犴	a	2	an
獒	a	36	ao
瑷	a	45	ai
璈	a	2	ao
癌	a	1005	ai
皑	a	1	ai
盎	a	46	ang
盦	a	4	an
矮	a	1068	ai
砹	a	68	ai
碍	a	222	ai
翱	a	18	ao
聱	a	3	ao
肮	a	8	ang
胺	a	433	an
腌	a	17	a
艾	a	1025	ai
蔼	a	22	ai
薁	a	11	ao
螯	a	61	ao
袄	a	80	ao
谙	a	18	an
遨	a	15	ao
鏊	a	14	ao
鏖	a	4	ao
铵	a	53	an
锕	a	41	a
锿	a	12	ai
阿	a	5406	a
隘	a	51	ai
隩	a	3	ao
霭	a	11	ai
鞍	a	112	an
骜	a	3	ao
鳌	a	108	ao
鹌	a	1	an
黯	a	102	an
𩽾	a	0	an
不	b	162529	bu
丙	b	674	bing
亳	b	63	bo
伯	b	674	bo
伴	b	839	ban
佖	b	3	bi
佛	b	1	bi
佰	b	29	bai
便	b	29912	bian
保	b	4971	bao
俵	b	3	biao
俾	b	110	bi
倍	b	23779	bei
倴	b	1	ben
傍	b	216	bang
傧	b	4	bin
僰	b	20	bo
儦	b	4	biao
八	b	5129	ba
兵	b	5140	bing
冰	b	3689	bing
刨	b	264	bao
别	b	21101	bie
剥	b	465	bao
办	b	3889	ban
勃	b	214	bo
包	b	13703	bao
匕	b	120	bi
北	b	3172	bei
匾	b	69	bian
半	b	8451	ban
卑	b	96	bei
博	b	2192	bo
卜	b	279	bu
卞	b	187	bian
卟	b	35	bu
变	b	9453	bian
叭	b	1698	ba
吡	b	64	bi
吧	b	297688	ba
呗	b	10966	bei
咇	b	4	bi
哔	b	543	bi
哱	b	11	bo
哺	b	24	bu
啵	b	242	bo
嘣	b	96	beng
坂	b	120	ban
坌	b	8	ben
坒	b	0	bi
坝	b	129	ba
埔	b	2	bu
埗	b	1	bu
埠	b	27	bu
堡	b	1021	bao
塝	b	0	bang
壁	b	761	bi
备	b	1006	bei
夯	b	4	ben
奔	b	1332	ben
妣	b	30	bi
妭	b	9	ba
婊	b	734	biao
婢	b	76	bi
嬖	b	16	bi
孛	b	38	bei
孢	b	12	bao
宝	b	2856	bao
宾	b	391	bin
屄	b	20	bi
屏	b	26	bing
岜	b	0	ba
崩	b	2223	beng
嶓	b	13	bo
巴	b	1115	ba
币	b	2666	bi
布	b	2175	bu
帛	b	110	bo
帮	b	11881	bang
幖	b	15	biao
并	b	132093	bing
庇	b	62	bi
庳	b	16	bi
弁	b	141	bian
弊	b	372	bi
弼	b	40	bi
彪	b	200	biao
彬	b	148	bin
彼	b	909	bi
必	b	3672	bi
忭	b	3	bian
怖	b	60	bu
悖	b	49	bei
悲	b	738	bei
惫	b	7	bei
愎	b	10	bi
憋	b	1874	bie
扁	b	520	bian
扒	b	2063	ba
扮	b	409	ban
扳	b	266	ban
抃	b	10	bian
把	b	265505	ba
报	b	7881	bao
抱	b	2528	bao
拌	b	1339	ban
拔	b	2123	ba
拜	b	2425	bai
拨	b	783	bo
捌	b	90	ba
捕	b	303	bu
捭	b	11	bai
掰	b	1262	bai
搏	b	416	bo
搒	b	2	bang
搬	b	2278	ban
摆	b	2757	bai
摈	b	8	bin
摒	b	10	bing
摽	b	16	biao
播	b	1338	bo
擘	b	22	bo
攽	b	2	ban
敝	b	167	bi
斌	b	254	bin
斑	b	856	ban
昄	b	1	ban
昪	b	9	bian
昺	b	14	bing
晡	b	33	bu
暴	b	529	bao
曝	b	787	bao
本	b	33142	ben
朳	b	2	ba
杓	b	62	biao
杯	b	4421	bei
板	b	4240	ban
枹	b	9	bao
柄	b	870	bing
柈	b	5	ban
柏	b	348	bai
标	b	2478	biao
栟	b	1	ben
梆	b	23	bang
棒	b	2692	bang
棓	b	3	bei
椑	b	2	bei
榜	b	2169	bang
槟	b	3	bing
檗	b	4	bo
欂	b	0	bo
步	b	4248	bu
殡	b	16	bin
比	b	168061	bi
毕	b	690	bi
毖	b	14	bi
毙	b	120	bi
汴	b	36	bian
沘	b	14	bi
泊	b	36	bo
泌	b	1	bi
波	b	4306	bo
泵	b	863	beng
浜	b	158	bang
浡	b	14	bo
渤	b	34	bo
湴	b	1	ban
滗	b	17	bi
滨	b	70	bin
濒	b	11	bin
濞	b	15	bi
瀌	b	3	biao
瀑	b	1	bao
灞	b	105	ba
炮	b	15	bao
炳	b	43	bing
焙	b	107	bei
煲	b	664	bao
煸	b	179	bian
熛	b	18	biao
爆	b	3912	bao
爸	b	1400	ba
版	b	30687	ban
犇	b	13	ben
狈	b	3	bei
狴	b	1	bi
玢	b	4	bin
玤	b	1	bang
玻	b	180	bo
珌	b	4	bi
班	b	10270	ban
琫	b	3	beng
琲	b	8	bei
璧	b	258	bi
瓣	b	386	ban
瓿	b	6	bu
甏	b	20	beng
甭	b	273	beng
畀	b	58	bi
畚	b	95	ben
疤	b	413	ba
病	b	9891	bing
痹	b	36	bi
瘢	b	2	ban
瘪	b	299	bie
瘭	b	0	biao
癍	b	20	ban
白	b	10933	bai
百	b	1329	bai
癿	b	8	bie
皕	b	8	bi
砭	b	7	bian
砵	b	9	bo
碑	b	717	bei
碚	b	5	bei
碥	b	3	bian
碧	b	585	bi
磅	b	2695	bang
礴	b	0	bo
祊	b	2	beng
禀	b	103	bing
秉	b	73	bing
秕	b	2	bi
秘	b	1	bi
稗	b	35	bai
笆	b	2	ba
笔	b	6838	bi
笨	b	1276	ben
笾	b	8	bian
筚	b	2	bi
箅	b	19	bi
箔	b	22	bo
篦	b	10	bi
簸	b	6	bo
簿	b	278	bu
粑	b	52	ba
糒	b	1	bei
绊	b	228	ban
绑	b	1179	bang
绷	b	229	beng
编	b	3079	bian
缤	b	21	bin
罢	b	1866	ba
羓	b	2	ba
耙	b	115	ba
胈	b	2	ba
背	b	24818	bei
胞	b	86	bao
脖	b	166	bo
脿	b	0	biao
膀	b	9	bang
膊	b	11	bo
膑	b	26	bin
膘	b	129	biao
臂	b	613	bi
般	b	5181	ban
舭	b	4	bi
舶	b	14	bo
艴	b	2	bo
芘	b	14	bi
芭	b	187	ba
苄	b	8	bian
苞	b	67	bao
苯	b	991	ben
苾	b	11	bi
荜	b	5	bi
