# text	overrides
# Overrides are tone-less pinyin for characters whose phrase reading differs
# from the character's primary reading. Multiple overrides may be separated by tabs.
了解	了:liao
了解一下	了:liao
了断	了:liao
了不起	了:liao
了不得	了:liao
了得	了:liao
了账	了:liao
了却	了:liao
了如指掌	了:liao
了然	了:liao
了无	了:liao
了无牵挂	了:liao
了无生趣	了:liao
了此残生	了:liao
不得了	了:liao
忘不了	了:liao
很了不起	了:liao
一目了然	了:liao
一了百了	了:liao
一死百了	了:liao
不了了之	了:liao
不了解	了:liao
不太了解	了:liao
可了不得	了:liao
余情未了	了:liao
怎么得了	了:liao
获利了结	了:liao

调整	调:tiao
调和	调:tiao
空调	调:tiao
调味	调:tiao
调味品	调:tiao
调皮	调:tiao
调皮捣蛋	调:tiao
调成	调:tiao
调低	调:tiao
调养	调:tiao
调匀	调:tiao
调试	调:tiao
调酒	调:tiao
调教	调:tiao
调剂	调:tiao
调节	调:tiao
调价	调:tiao
调羹	调:tiao
调高	调:tiao
调制	调:tiao
调准	调:tiao
调配	调:tiao
调频	调:tiao
调料	调:tiao
调理	调:tiao
调色	调:tiao
调速	调:tiao
调休	调:tiao
调戏	调:tiao
调序	调:tiao
调谐	调:tiao
调侃	调:tiao
调控	调:tiao
调停	调:tiao
可调	调:tiao
微调	调:tiao
自动调频	调:tiao
风调雨顺	调:tiao
协调	调:tiao
失调	调:tiao
烹调	调:tiao
月经不调	调:tiao
众口难调	调:tiao

音乐	乐:yue
音乐会	乐:yue
声乐	乐:yue
乐器	乐:yue
乐曲	乐:yue
乐队	乐:yue
乐手	乐:yue
乐感	乐:yue
乐章	乐:yue
乐谱	乐:yue
乐迷	乐:yue
乐团	乐:yue
奏乐	乐:yue
哀乐	乐:yue
军乐	乐:yue
交响乐	乐:yue
管乐	乐:yue
配乐	乐:yue
民乐	乐:yue

校对	校:jiao
校订	校:jiao
校勘	校:jiao
校验	校:jiao
校准	校:jiao
校阅	校:jiao
勘校	校:jiao
校尉	校:jiao

弹性	弹:tan
弹劾	弹:tan
弹力	弹:tan
弹唱	弹:tan
弹簧	弹:tan
弹奏	弹:tan
弹出	弹:tan
弹窗	弹:tan
弹压	弹:tan
弹射	弹:tan
弹指	弹:tan
弹跳	弹:tan
弹指一挥间	弹:tan
弹指之间	弹:tan
反弹	弹:tan
自弹自唱	弹:tan
吹拉弹唱	弹:tan
吹弹得破	弹:tan
吹弹可破	弹:tan
对牛弹琴	弹:tan
乱弹琴	弹:tan
动弹	弹:tan
动弹不得	弹:tan

朝霞	朝:zhao
朝阳	朝:zhao
朝夕	朝:zhao
朝气	朝:zhao
朝气蓬勃	朝:zhao
朝不保夕	朝:zhao
朝朝暮暮	朝:zhao
朝三暮四	朝:zhao
朝思暮想	朝:zhao
朝令夕改	朝:zhao
朝令暮改	朝:zhao
朝发夕至	朝:zhao
朝过夕改	朝:zhao
朝闻夕死	朝:zhao
朝闻道，夕死可矣	朝:zhao
朝云暮雨	朝:zhao
朝生暮死	朝:zhao
朝九晚五	朝:zhao
有朝一日	朝:zhao
一朝一夕	朝:zhao
一朝权在手	朝:zhao
一朝权在手，便把令来行	朝:zhao
一朝被蛇咬	朝:zhao
今朝	朝:zhao
今朝有酒今朝醉	朝:zhao
只争朝夕	朝:zhao

便宜	便:pian
不便宜	便:pian
挺便宜的	便:pian
太便宜了	便:pian
贪小便宜	便:pian
占便宜	便:pian
得便宜卖乖	便:pian
得了便宜还卖乖	便:pian
便宜没好货	便:pian
便宜无好货	便:pian

投降	降:xiang
降龙	降:xiang
降龙伏虎	降:xiang
劝降	降:xiang
诈降	降:xiang
归降	降:xiang
招降纳叛	降:xiang
一物降一物	降:xiang
一力降十会	降:xiang
降妖除魔	降:xiang
降妖伏魔	降:xiang

给予	给:ji
给以	给:ji
自给自足	给:ji
供给侧	给:ji
配给	给:ji
日不暇给	给:ji

反省	省:xing
反躬自省	省:xing
发人深省	省:xing
一日三省	省:xing
不省人事	省:xing

进行	行:xing
前行	行:xing
强行	行:xing
自行	行:xing
自行其是	行:xing
自行车	行:xing
逆行	行:xing
串行	行:xing
穿行	行:xing
畅行无阻	行:xing
滑行	行:xing
横行无忌	行:xing
横行霸道	行:xing
横行天下	行:xing
独断独行	行:xing
独断专行	行:xing
单行	行:xing
单行道	行:xing
多行不义必自毙	行:xing
多行	行:xing
游行	行:xing
运行	行:xing
言行	行:xing
言行一致	行:xing
游行示威	行:xing
言行举止	行:xing
言行不一	行:xing
实行	行:xing
