;fcitx Version 0x03 Table file
KeyCode=abcdefghijklmnopqrstuvwxyz
Length=4
Pinyin=@
PinyinLength=4
Prompt=&
ConstructPhrase=^
[Rule]
e2=p11+p12+p21+p22
e3=p11+p21+p31+p32
a4=p11+p21+p31+n11
[Data]
s	去
sx	亲
sxu	秦
ss	求
ss	恰恰
sxw	琴
ssss	求求
sxb	勤
sxh	钦
sssg	求取
sxe	沁
sssm	秋千
sssp	求全
ssst	求情
sssx	求亲
sxp	侵
sxue	擒
ssww	千千万万
ssww	卿卿我我
sswz	千秋万载
sswd	球王
sswe	千秋万代
sxj	芹
sswo	千秋万岁
sswu	求稳
sxq	覃
sxx	寝
sxpe	禽
sxo	矜
sszx	求全责备
ssvk	群起而攻之
ssvp	蛐蛐儿
sxpf	衾
ssaa	期期艾艾
ssac	求爱
sxjk	芩
sxtd	嗪
sxed	溱
sscs	妻妾成群
sscv	囚车
sscc	清清楚楚
sscd	球场
sscf	权倾朝野
sxt	噙
sxup	揿
ssdz	秋后
ssdv	求和
ssdv	齐齐哈尔
sxud	秦
ssdd	前前后后
ssde	巧取豪夺
ssdf	求婚
ssdp	求欢
ssdq	全球化
sxwk	琴
ssev	求得
sxhp	钦
ssee	敲敲打打
ssee	清清淡淡
ssef	千秋大业
sseg	泅渡
ssek	球队
sseo	秋冬
sxeq	沁
sseu	群情鼎沸
ssex	全权代表
ssfz	秋游
ssfc	求医
ssfg	秋雨
ssfg	芊芊玉手
ssfp	球员
ssfx	蚯蚓
sxjh	芹
sxqg	覃
ssgz	娶妻生子
ssgc	糗事
ssgd	琴棋书画
ssgf	七窍生烟
ssgg	切切实实
ssgg	确确实实
ssgi	求生
ssgk	秋水
ssgu	求神
sxxf	寝
sshs	求救
sshz	谦谦君子
sshb	求教
sshc	秋季
sshf	权钱交易
sshg	秋菊
sshl	求解
sshm	求见
sshn	茕茕孑立
sxte	噙
sshx	囚禁
sc	其
ssiz	求购
scy	起
ssii	奇奇怪怪
ssij	求告
sca	七
ssjc	龟兹
scl	气
ssje	求财
scsr	期
ssjj	凄凄惨惨
ssjq	区区此心
scw	齐
sskc	求职
sskd	酋长
sskg	求助
sskh	求战
sski	求证
sskk	曲曲折折
sskn	秋装
sskq	乔迁之喜
ssku	求真
scet	奇
sct	器
sslc	裘皮
ssle	球拍
sslf	亲戚朋友
scab	妻
scu	旗
ssmc	球迷
scd	启
ssmu	球门
ssnw	球类
ssnd	强强联合
ssnf	七情六欲
ssng	强强联手
ssnj	囚牢
ssnn	起起落落
ssno	囚笼
ssnq	七窍流血
ssnt	丘陵
ssov	秋色
ssoe	球赛
ssof	窃窃私语
ssoo	轻轻松松
ssor	求索
scwj	弃
scwx	琪
sspc	秋日
scm	骑
sspj	求饶
sspp	亲亲热热
sspu	求人
ssqg	区区小事
ssql	球鞋
ssqt	球星
ssqu	恰恰相反
ssqx	求新
ssqy	求学
ssrg	求偶
scuk	揭
scp	企
sstg	秋裤
sstk	秋葵
scwt	琦
sstt	勤勤恳恳
ssud	牵强附会
ssuh	囚犯
ssui	秋风
ssuu	秋分
ssuu	起起伏伏
scs	欺
ssxd	球棒
scwq	戚
ssxi	千奇百怪
ssxm	求变
ssxr	秋波
ssxx	七七八八
ssxx	清清白白
ssyc	球体
ssye	球台
ssyg	囚徒
ssym	秋天
ssyp	全情投入
sw	千万
swws	其味无穷
swep	请勿打扰
swfg	趣闻轶事
swgc	全无是处
swgq	悄无声息
swig	奇文共赏
swip	前无古人
swjh	去芜存菁
swjk	去伪存真
swkc	期望值
swma	区位码
swq	权威性
swqi	全无心肝
swqt	趣味性
swqy	趣味相投
swxb	七歪八扭
sz	亲自
szwf	确凿无疑
szbw	穷在闹市无人问
szbu	千载难逢
szcm	亲自出马
szeg	穷则独善其身
szeo	全自动
szfo	起作用
szfy	蜷作一团
szif	青藏高原
szmd	起早摸黑
szox	穷则思变
szqw	擒贼先擒王
szxc	签字笔
szxg	七嘴八舌
szxy	千姿百态
szyd	起早贪黑
sv	全额
svwq	千恩万谢
svek	取而代之
svfh	轻而易举
svnq	妻儿老小
svxe	求而不得
svxg	锲而不舍
svxx	千儿八百
saev	亲爱的
sain	乞哀告怜
saym	弃暗投明
scae	戚
sbs	瞧瞧
sbsb	悄悄
sbsc	翘起
sbsm	乔迁
sbsu	轻拿轻放
sces	汽
sbwz	千难万阻
sbwb	千难万难
sbwd	其奈我何
sclv	祁
sbwq	千难万险
sco	绮
sce	柒
sbzh	情难自禁
sclx	祺
scvt	崎
scue	契
scen	泣
scmq	栖
sbcg	翘楚
sbdv	巧合
scv	岂
sbea	敲打
sbeb	敲掉
sbef	桥墩
sbeo	桥洞
sbep	桥段
sbet	敲定
sbey	强扭的瓜不甜
scg	砌
scex	淇
sbfg	巧遇
sbfh	巧言
scf	讫
sbfp	迁怒于人
sci	麒
scvf	岐
sclk	乞
sbgz	翘首
sbgv	翘舌
sbgc	桥式
sck	歧
sbgi	悄声
scmh	杞
scb	婍
scbt	婍
sbhc	敲击
sceb	凄
sbhg	侨居
sbhl	桥接
sbhm	瞧见
sbhq	桥架
sbhx	巧劲
scr	脐
scvn	亓
scar	鳍
sbiq	轻诺寡信
scpf	伎
scyh	圻
sbjh	青年才俊
sbjk	憔悴
scgp	碛
sbkv	瞧着
sbka	敲诈
sbkf	七年之痒
sbkm	强弩之末
sbkn	乔装
sbko	敲钟
sblc	俏皮
sble	桥牌
sblr	敲破
scyy	畦
sbmb	巧妙
sczs	迄
sbme	荞麦
sbmg	乔木
scn	耆
sch	颀
sbmu	敲门
sbmu	窍门
sbmx	侨民
sbnv	巧了
sbnc	俏丽
sbnn	桥梁
sbnr	敲锣
scna	亟
scjg	芪
scz	蹊
scsq	綦
sbph	悄然
scjn	荠
scj	蕲
scvh	屺
scjv	葺
sbqg	倾囊相授
sbqn	敲响
scjb	萋
scsx	其
scak	七
scwn	齐
sbtv	翘课
sbte	撬开
sbtq	墙内开花墙外香
sctt	器
sbug	樵夫
scux	旗
scpk	企
sbxc	峭壁
sbxj	侨胞
sbxk	勤能补拙
sbys	去年同期
sbyz	桥头
scot	绮
scfs	讫
scix	麒
sckf	歧
scss	气球
scsb	蹊跷
scsc	青春期
scsg	崎岖
scsl	妻妾
scsm	七千
scsn	砌墙
scsp	齐全
scrn	脐
schp	颀
scst	凄清
scl	祈
scsy	奇缺
scm	棋
scww	气味
scwd	期望
scwg	前程往事
scwh	七万
sce	漆
scs	憩
st	请
ste	清
scwu	气温
stq	情
scwx	千差万别
stu	青
stc	轻
sczz	气走
sczc	妻子
scze	骑在
str	晴
sczj	起早
sti	庆
stl	卿
scvv	企鹅
scvc	倾巢而出
stp	倾
stpr	倩
sts	氢
scvp	妻儿
stk	箐
stj	擎
stx	顷
stg	磬
stsr	氰
stgu	罄
stcr	蜻
stn	亲
stfr	请
scbw	气馁
scbv	七尺男儿
scbd	气囊
scbe	气冲牛斗
scbg	青春年少
scbi	岂能
scbj	气恼
scbk	妻女
ster	清
stqr	情
sccv	汽车
scca	沏茶
sccc	启齿
sccd	气场
scce	倾巢出动
sccg	起初
scci	启程
sccn	起床
scco	气冲冲
sccp	气喘
stur	青
strr	晴
scdw	漆黑
scdz	气候
scdv	契合
scdd	启航
scdj	旗号
scdk	岂会
stie	庆
scdo	起哄
scdp	奇幻
scdq	企划
scdq	气话
scdr	期货
scdt	气坏
stlv	卿
stpp	倾
stsi	氢
scez	青春痘
stkr	箐
scec	启迪
stjg	擎
scee	期待
sceg	气度
sceh	契丹
scei	汽灯
scej	祈祷
scem	起点
stxp	顷
sceo	启动
scep	奇耻大辱
sn	强
snu	抢
snm	枪
sny	墙
scfz	汽油
scfv	企业
scfa	欺压
scfa	气压
scfc	歧义
scfc	起义
scfe	前程远大
scfg	其余
scfh	气焰
scfn	青出于蓝
scfn	青出于蓝而胜于蓝
scfo	启用
scfp	起源
scft	弃婴
scfx	起因
scfy	七月
scfy	契约
snr	腔
scgz	棋手
snt	呛
scgc	其实
snf	羌
scgg	气数
scgh	青城山
scgi	齐声
scgk	汽水
scgn	轻车熟路
snj	蔷
snhj	锵
snfi	羟
scgu	起身
snmt	樯
schb	起脚
schc	奇迹
schc	契机
schg	器具
schj	轻车简从
schk	浅尝即止
schl	气节
schm	旗舰
schm	期间
snli	戕
schq	起家
snz	跄
schx	迄今
schy	气绝
snl	襁
sciv	七个
scid	汽缸
scie	乞丐
scie	牵肠挂肚
scih	岂敢
scio	气功
scip	器官
scir	起锅
scit	奇怪
snic	强
snuk	抢
snmk	枪
snyt	墙
snri	腔
scjc	其次
scje	器材
scjf	七寸
sntk	呛
scjh	凄惨
scjj	起草
snjt	蔷
snzk	跄
snlc	襁
sm	前
sckv	七折
scka	欺诈
sckc	气质
sckd	起承转合
smh	钱
sckh	前车之鉴
scki	齐整
sckk	浅尝辄止
sckn	气壮
scko	其中
sml	千
smep	欠
smk	签
scla	奇葩
sclb	期票
scle	气派
sclg	棋谱
sclh	期盼
sclj	旗袍
sclj	气泡
sme	浅
sclm	欺骗
sclr	气魄
sclt	齐平
smeb	牵
smg	乾
smer	潜
scmw	凄美
scmz	奇谋
scma	起码
scmb	奇妙
scmc	凄迷
smz	迁
scmi	启蒙
scmj	起锚
smf	谦
scmr	期末
scmt	起名
smpr	倩
scmx	器皿
smj	茜
scns	气流
scnv	起床了
smzt	遣
scnb	岂料
scnc	起立
scne	起来
scng	歧路
scni	凄冷
scnk	七律
scnn	凄凉
scnn	气量
scnr	起落
scnt	欺凌
scnx	麒麟
smos	纤
scov	气色
scoc	气死
scoe	棋赛
scog	起诉
scoh	前程似锦
scok	七岁
scor	其所
smd	黔
smp	仟
smjs	芊
scpg	欺辱
scph	凄然
smv	嵌
scpu	气人
scqb	奇效
scqc	栖息
scqc	气息
scqd	气冲霄汉
scqf	七旬
scqg	期许
scql	器械
scqm	期限
scqn	气象
scqp	气旋
scqq	旗下
scqq	气喘吁吁
smx	歉
scqx	齐心
scqy	气血
smhi	钳
smfz	谴
smvs	阡
sctv	岂可
sctg	凄苦
scth	期刊
scto	气孔
smjp	芡
smdw	虔
sctu	岂肯
smhk	钤
scuw	起飞
scua	启发
scud	期房
smc	堑
scug	欺负
scug	起伏
scui	启封
smjj	荨
scuu	气愤
scuu	气氛
smu	扦
scx	岂不
scxw	齐备
scxc	起笔
scxe	七百
scxe	取长补短
scxg	起步
scxj	起爆
scxn	千锤百炼
scxt	骑兵
scxt	千疮百孔
smqy	悭
scyz	起头
scyv	奇特
scya	其他
scyb	起跳
scyc	气体
scyd	切齿痛恨
scye	气态
scyg	企图
scyg	歧途
smo	缱
scyj	乞讨
scym	七天
scyp	气团
scyt	汽艇
smur	掮
sd	切换
sdwd	千呼万唤
sdwg	氰化物
sdwu	秋毫无犯
sdzf	前后左右
sdzx	青红皂白
sdbq	骑虎难下
sddw	秦皇汉武
sddf	前呼后拥
sddg	气呼呼
sdej	秦皇岛
sdeq	清华大学
sdfj	奇花异草
sdfl	漆黑一片
sdfm	奇花异木
sdft	情何以堪
sdfy	漆黑一团
sdgi	青海省
sdnc	亲和力
sdnx	权衡利弊
sdok	秋后算账
sdth	奇货可居
sdxe	清华北大
sdxg	欺行霸市
sdxh	青黄不接
sdxk	千回百转
sdxo	七荤八素
sdyd	秋海棠
se	前端
se	确定
sesc	瞧得起
sewi	千刀万剐
sewk	千叮万嘱
sebu	千叮咛万嘱咐
secb	枪打出头鸟
seck	屈打成招
secp	气垫船
sect	情窦初开
sedc	恰到好处
sedg	千岛湖
sedh	青灯黄卷
sefh	期待已久
sefq	取大优先
segq	气定神闲
sehy	拳打脚踢
seif	七大姑八大姨
seiq	裙带关系
seiu	青灯古佛
sekv	期待着
sekh	请多指教
seky	墙倒众人推
senv	取得了
seqt	确定性
seug	清道夫
sexu	气度不凡
seyf	求大同，存小异
seyi	巧夺天工
smxe	前
sfsb	瞧一瞧
sfsg	确有其事
sfwd	企业文化
sfwe	趋于稳定
sfwf	千言万语
smhh	钱
smlg	千
sfzc	裙子
sfcu	秋月春风
sfd	区域化
sfdd	前仰后合
sfdi	前因后果
sfdj	群号
sfdk	全运会
sfdm	轻于鸿毛
sfdq	强颜欢笑
sfew	企业单位
sfee	裙带
sfej	群岛
sfek	情有独钟
sfep	前一段
sff	起源于
sffz	群友
sffb	求爷爷告奶奶
smka	签
sffg	其言也善
sffh	青眼有加
sfft	群英
sffu	穷于应付
sfgc	潜意识
sfgh	群山
sfgn	潜意识里
sfh	企业家
sfhg	群居
sfhj	犬牙交错
sfhq	群架
smgs	乾
smzs	迁
sfin	企业管理
sfir	奇异果
sfjc	去一次
sfjj	去也匆匆
sfjn	岂有此理
sfkz	前一阵子
sfkg	群主
sfkh	权宜之计
sfko	群众
smfb	谦
sflk	欠一屁股债
smjq	茜
sfmd	潜移默化
sfnc	强有力
sfnn	请原谅
sfno	巧言令色
sfov	清一色
sfpd	巧言如簧
sfq	区域性
sfqa	器宇轩昂
sfqf	逡巡
sfqf	轻言细语
sfqh	青眼相加
sfqo	群雄
sfqt	群星
sfqy	气焰熏天
sfrg	群殴
smps	仟
sftf	情有可原
sftg	裙裤
sfus	轻言放弃
sfua	群发
sfuf	曲意逢迎
sfug	趋炎附势
sfug	牵一发而动全身
sfuu	七月份
sfxb	晴雨表
sfxf	前言不搭后语
sfxg	千依百顺
sfxt	缺一不可
sfxu	轻徭薄赋
sfyc	群体
sfyq	窃玉偷香
smvp	嵌
sgs	躯壳
sgss	怯声怯气
sgsb	取巧
sgsc	娶妻
sgsg	区区
sgsh	轻手轻脚
sgsm	取钱
sgsx	娶亲
