# THMY native auxiliary codes.
# Generated by scripts/generate_thmy_aux.py; do not edit by hand.
# Columns: character<TAB>aux_code
#
# Codes are arbitrary comfort-first disambiguators. They are assigned
# against each character's sound-code context, with Dvorak same-finger,
# same-hand, large-stretch, distance, and load-balance metrics.
的	d
一	i
是	u
不	q
了	o
在	w
人	j
有	e
我	n
他	l
这	s
个	a
们	x
中	v
来	z
上	y
大	c
为	r
和	t
国	q
地	k
到	p
以	x
说	c
时	i
要	z
就	k
出	q
会	a
可	r
也	s
你	q
对	b
生	f
能	h
而	x
子	p
那	g
得	p
于	m
着	r
下	j
自	i
之	p
年	y
过	f
发	c
后	i
作	r
里	e
用	c
道	r
行	p
所	l
然	a
家	p
种	m
事	a
成	r
方	p
多	v
经	p
么	m
去	f
法	r
学	p
如	a
都	j
同	m
现	p
当	p
没	l
动	r
面	a
起	a
看	r
定	a
天	a
分	q
还	m
进	a
好	z
小	p
部	l
其	i
些	a
主	g
样	a
理	a
心	a
她	g
本	e
前	a
开	l
但	l
因	q
只	e
从	v
想	p
实	k
日	k
军	q
者	h
意	q
无	h
力	q
它	c
与	z
长	a
把	r
机	e
十	q
民	q
第	q
公	h
此	e
已	a
工	m
使	x
情	e
明	e
性	e
知	a
全	a
三	h
又	i
关	e
点	e
正	h
业	h
外	m
将	x
两	q
高	h
间	a
由	q
问	k
很	j
最	m
重	g
并	p
物	g
手	a
应	a
战	g
向	a
头	k
文	q
体	k
政	g
美	g
相	k
见	k
被	g
利	k
什	q
二	q
等	h
产	f
或	n
新	k
己	a
制	j
身	e
果	c
加	e
西	a
斯	a
月	y
话	j
合	f
回	f
特	f
代	m
内	c
信	j
表	a
化	q
老	f
给	f
世	e
位	m
次	a
度	m
门	j
任	k
常	e
先	e
海	c
通	c
教	p
儿	k
原	q
东	m
声	c
提	j
立	j
及	k
比	j
员	a
解	q
水	m
名	p
真	q
论	a
处	c
走	a
义	p
各	c
入	m
几	x
口	x
认	x
条	p
平	i
系	i
气	x
题	q
活	r
尔	p
更	r
别	x
打	m
女	c
变	p
四	i
神	x
总	b
何	c
电	p
数	c
安	p
少	c
报	s
才	b
结	e
反	s
受	e
目	s
太	s
量	p
再	m
感	c
建	e
务	v
做	v
接	a
必	a
场	i
件	p
计	q
管	a
期	e
市	p
直	q
德	s
资	a
命	a
山	c
金	q
指	x
克	s
许	c
统	s
区	c
保	c
至	i
队	s
形	a
社	s
便	a
空	c
决	p
治	k
展	s
马	c
科	n
司	e
五	s
基	p
眼	n
书	n
非	c
则	s
听	e
白	b
却	p
界	k
达	r
光	q
放	x
强	k
即	y
像	q
难	f
且	x
权	i
思	k
王	a
象	i
完	r
设	f
式	j
色	b
路	z
记	j
南	c
品	k
住	b
告	f
类	f
求	k
据	b
程	c
北	c
边	e
死	x
张	i
该	z
交	a
规	n
万	n
取	r
拉	c
格	l
望	e
觉	a
术	b
领	a
共	b
确	a
传	a
师	y
观	k
清	a
今	k
切	k
院	e
让	e
识	l
候	a
带	r
导	g
争	l
运	i
笑	i
飞	g
风	l
步	c
改	b
收	k
根	a
干	g
造	c
言	l
联	a
持	a
组	c
每	c
济	l
车	l
亲	k
极	s
林	k
服	b
快	a
办	g
议	k
往	i
元	k
英	i
士	s
证	s
近	i
失	g
转	a
夫	g
令	q
准	a
布	b
始	c
怎	j
呢	g
存	a
未	l
远	i
叫	j
台	b
单	s
影	q
具	r
罗	r
字	q
爱	a
击	c
流	x
备	f
兵	i
连	p
调	y
深	i
商	i
算	i
质	y
团	x
集	z
百	s
需	b
价	x
花	x
党	a
华	y
城	s
石	z
级	m
整	r
府	f
离	y
况	y
亚	f
请	y
技	b
际	h
约	q
示	f
复	s
病	a
息	x
究	x
线	a
似	q
官	i
火	c
断	i
精	i
满	s
支	l
视	b
消	x
越	i
器	q
容	b
照	r
须	f
九	j
增	f
研	r
写	x
称	f
企	j
八	c
功	r
吗	r
包	l
片	q
史	m
委	c
乎	b
查	c
轻	j
易	j
早	s
曾	f
除	b
农	b
找	c
装	k
广	a
显	q
吧	l
阿	f
李	i
标	p
谈	s
吃	q
图	b
念	p
六	j
引	k
历	p
首	j
医	y
局	z
突	z
专	k
费	f
号	n
尽	j
另	p
周	a
较	y
注	z
语	s
仅	x
考	f
落	s
青	k
随	m
选	a
列	k
武	z
红	z
响	y
虽	s
推	m
势	h
参	s
希	k
古	s
众	z
构	i
房	i
半	s
节	j
土	m
投	i
某	k
案	y
黑	c
维	h
革	h
划	p
敌	j
致	s
陈	j
律	z
足	z
态	z
护	m
七	p
兴	y
派	v
孩	h
验	h
责	h
营	p
星	j
够	j
章	y
音	j
跟	q
志	z
底	i
站	h
严	s
巴	f
例	x
防	e
族	b
供	z
效	y
续	m
施	w
留	i
讲	p
型	i
料	y
终	b
答	f
紧	e
黄	y
绝	y
奇	k
察	s
母	m
京	y
段	a
依	e
批	e
群	e
项	j
故	m
按	a
河	s
米	k
围	s
江	y
织	c
害	b
斗	y
双	y
境	x
客	z
纪	w
采	z
举	s
杀	s
攻	v
父	z
苏	b
密	e
低	x
朝	s
友	j
诉	z
止	m
细	e
愿	j
千	y
值	h
仍	z
男	b
钱	e
破	s
网	j
热	m
助	v
倒	f
育	v
属	v
坐	c
帝	y
限	y
船	i
脸	y
职	b
速	m
刻	v
乐	n
否	j
刚	i
威	f
毛	s
状	p
率	v
甚	j
独	z
球	j
般	z
普	m
怕	f
弹	n
校	a
苦	b
创	p
假	k
久	a
错	m
承	n
印	x
晚	s
兰	n
试	o
股	z
拿	c
脑	b
预	b
谁	f
益	s
阳	p
若	n
哪	v
微	z
尼	p
继	g
送	b
急	o
血	k
惊	a
伤	x
素	v
药	s
适	p
波	m
夜	z
省	m
初	v
喜	p
卫	v
源	p
食	a
险	x
待	z
述	m
陆	v
习	y
置	f
居	v
劳	h
财	m
环	a
排	m
福	v
纳	h
欢	y
雷	h
警	k
获	s
模	s
充	z
负	m
云	y
停	p
木	v
游	x
龙	b
树	z
疑	z
层	h
冷	s
洲	x
冲	v
射	n
略	p
范	n
竟	j
句	m
室	x
异	h
激	u
汉	s
村	k
哈	n
策	s
演	b
简	y
卡	s
罪	z
判	h
担	b
州	i
静	e
退	v
既	a
衣	c
您	x
宗	z
积	k
余	h
痛	b
检	j
差	z
富	h
灵	y
协	j
角	k
占	m
配	f
征	v
修	j
皮	p
挥	b
胜	h
降	e
阶	i
审	k
沉	k
坚	i
善	b
妈	v
刘	k
读	b
啊	c
超	v
免	y
压	n
银	i
买	m
皇	p
养	y
伊	f
怀	p
执	w
副	n
乱	j
抗	a
犯	h
追	z
帮	i
宣	p
佛	s
岁	v
航	a
优	p
怪	y
香	x
著	h
田	p
铁	k
控	z
税	z
左	s
右	a
份	j
穿	p
艺	b
背	n
阵	k
草	h
脚	i
概	s
恶	s
块	y
顿	a
敢	h
守	p
酒	e
岛	s
托	s
央	k
户	z
烈	j
洋	j
哥	s
索	h
胡	h
款	a
靠	h
评	p
版	f
宝	z
座	z
释	k
景	q
顾	b
弟	p
登	s
货	b
互	s
付	r
伯	s
慢	n
欧	z
换	k
闻	j
危	b
忙	j
核	z
暗	j
姐	x
介	p
坏	y
讨	s
丽	o
良	i
序	z
升	s
监	x
临	j
亮	j
露	b
永	b
呼	n
味	n
野	b
架	j
域	n
沙	f
掉	p
括	s
舰	q
鱼	f
杂	s
误	b
湾	z
吉	i
减	s
编	i
楚	z
肯	j
测	b
败	z
屋	n
跑	s
梦	b
散	z
温	x
困	i
剑	r
渐	n
封	z
救	i
贵	z
枪	p
缺	y
楼	a
县	j
尚	e
毫	b
移	m
娘	p
朋	n
画	k
班	n
智	g
亦	w
耳	e
恩	p
短	j
掌	x
恐	b
遗	g
固	n
席	j
松	z
秘	i
谢	i
鲁	n
遇	r
康	x
虑	b
幸	x
均	a
销	e
钟	n
诗	e
藏	i
赶	b
剧	f
票	y
损	x
忽	v
巨	n
炮	b
旧	p
端	x
探	b
湖	f
录	s
叶	n
春	i
乡	r
附	w
吸	q
予	w
礼	u
港	j
雨	g
呀	r
板	b
庭	y
妇	a
归	b
睛	n
饭	z
额	h
含	n
顺	i
输	s
摇	f
招	h
婚	e
脱	f
补	z
谓	g
督	v
毒	s
油	k
疗	p
旅	m
泽	b
材	v
灭	j
逐	m
莫	f
笔	e
亡	x
鲜	i
词	i
圣	b
择	f
寻	j
厂	j
睡	b
博	f
勒	s
烟	f
