rank	char	sound_code	aux_code	input_code	delimited_input	weight
1	的	de	d	ded	de;d	15378475
2	一	yn	i	yni	yn;i	99581
3	是	un	u	unu	un;u	1799848
4	不	bj	w	bjw	bj;w	162529
5	了	le	t	let	le;t	1758342
6	在	zx	v	zxv	zx;v	1436325
7	人	rz	x	rzx	rz;x	453337
8	有	yt	y	yty	yt;y	527912
9	我	wu	n	wun	wu;n	889049
10	他	ty	c	tyc	ty;c	456616
11	这	ie	s	ies	ie;s	323192
12	个	ge	b	geb	ge;b	215733
13	们	mz	k	mzk	mz;k	60453
14	中	iq	z	iqz	iq;z	497871
15	来	lx	m	lxm	lx;m	306900
16	上	us	e	use	us;e	403722
17	大	dy	f	dyf	dy;f	110653
18	为	wp	r	wpr	wp;r	306925
19	和	he	h	heh	he;h	2111735
20	国	gu	l	gul	gu;l	7173
21	地	dn	p	dnp	dn;p	117349
22	到	da	o	dao	da;o	322254
23	以	yn	j	ynj	yn;j	198619
24	说	uu	g	uug	uu;g	267892
25	时	un	a	una	un;a	287440
26	要	ya	l	yal	ya;l	264121
27	就	jb	q	jbq	jb;q	617569
28	出	vj	k	vjk	vj;k	44496
29	会	hk	f	hkf	hk;f	328671
30	可	ke	w	kew	ke;w	101389
31	也	ye	b	yeb	ye;b	693871
32	你	nn	i	nni	nn;i	492791
33	对	dk	j	dkj	dk;j	584384
34	生	ui	w	uiw	ui;w	8631
35	能	ni	w	niw	ni;w	231337
36	而	ah	k	ahk	ah;k	539248
37	子	zn	p	znp	zn;p	11926
38	那	ny	l	nyl	ny;l	188654
39	得	de	p	dep	de;p	31646
40	于	yj	g	yjg	yj;g	61704
41	着	ie	r	ier	ie;r	43529
42	下	xw	p	xwp	xw;p	136753
43	自	zn	a	zna	zn;a	22690
44	之	in	p	inp	in;p	50653
45	年	nc	a	nca	nc;a	561011
46	过	gu	s	gus	gu;s	109187
47	发	fy	m	fym	fy;m	22519
48	后	ht	o	hto	ht;o	277470
49	作	zu	g	zug	zu;g	16717
50	里	ln	p	lnp	ln;p	270298
51	用	yq	m	yqm	yq;m	277346
52	道	da	r	dar	da;r	25371
53	行	xl	e	xle	xl;e	5190
53	行	hs	e	hse	hs;e	1000
54	所	su	g	sug	su;g	72425
55	然	ro	r	ror	ro;r	2983
56	家	jw	e	jwe	jw;e	29921
57	种	iq	r	iqr	iq;r	21362
58	事	un	e	une	un;e	35940
59	成	vi	r	vir	vi;r	27010
60	方	fs	x	fsx	fs;x	10747
61	多	du	r	dur	du;r	146987
62	经	jl	x	jlx	jl;x	9784
63	么	me	g	meg	me;g	48917
64	去	qj	s	qjs	qj;s	334183
65	法	fy	f	fyf	fy;f	20611
66	学	xf	x	xfx	xf;x	39963
67	如	rj	c	rjc	rj;c	84996
68	都	dt	e	dte	dt;e	391232
69	同	tq	f	tqf	tq;f	20243
70	现	xc	x	xcx	xc;x	4526
71	当	ds	x	dsx	ds;x	133037
72	没	mp	l	mpl	mp;l	60454
73	动	dq	g	dqg	dq;g	4594
74	面	mc	y	mcy	mc;y	13619
75	起	qn	y	qny	qn;y	24083
76	看	ko	g	kog	ko;g	171172
77	定	dl	y	dly	dl;y	5120
78	天	tc	y	tcy	tc;y	49112
79	分	fz	i	fzi	fz;i	101685
80	还	hx	w	hxw	hx;w	206072
81	进	jm	o	jmo	jm;o	22194
82	好	ha	f	haf	ha;f	124546
83	小	xr	y	xry	xr;y	97239
84	部	bj	z	bjz	bj;z	9531
85	其	qn	p	qnp	qn;p	142250
86	些	xv	q	xvq	xv;q	14940
87	主	ij	z	ijz	ij;z	13785
88	样	ys	o	yso	ys;o	2058
89	理	ln	o	lno	ln;o	2549
90	心	xm	q	xmq	xm;q	14190
91	她	ty	l	tyl	ty;l	181229
92	本	bz	o	bzo	bz;o	33142
93	前	qc	k	qck	qc;k	83438
94	开	kx	z	kxz	kx;z	29892
95	但	do	c	doc	do;c	516846
96	因	ym	x	ymx	ym;x	27218
97	只	in	q	inq	in;q	58794
98	从	cq	z	cqz	cq;z	412357
99	想	xg	o	xgo	xg;o	109045
100	实	un	x	unx	un;x	1958
101	日	rn	x	rnx	rn;x	100724
102	军	jd	i	jdi	jd;i	4825
103	者	ie	f	ief	ie;f	38417
104	意	yn	y	yny	yn;y	2027
105	无	wj	r	wjr	wj;r	28712
106	力	ln	i	lni	ln;i	12150
107	它	ty	r	tyr	ty;r	185989
108	与	yj	m	yjm	yj;m	439612
109	长	vs	i	vsi	vs;i	11739
109	长	is	i	isi	is;i	2936
110	把	by	f	byf	by;f	265505
111	机	jn	i	jni	jn;i	8380
112	十	un	y	uny	un;y	3259
113	民	mm	q	mmq	mm;q	1424
114	第	dn	q	dnq	dn;q	59951
115	公	gq	g	gqg	gq;g	2184
116	此	cn	y	cny	cn;y	16871
117	已	yn	k	ynk	yn;k	26602
118	工	gq	w	gqw	gq;w	1844
119	使	un	i	uni	un;i	33800
120	情	ql	y	qly	ql;y	2592
121	明	ml	y	mly	ml;y	3079
122	性	xl	y	xly	xl;y	21848
123	知	in	i	ini	in;i	3367
124	全	qh	k	qhk	qh;k	29367
125	三	so	g	sog	so;g	43160
126	又	yt	i	yti	yt;i	205246
127	关	gh	y	ghy	gh;y	4885
128	点	dc	p	dcp	dc;p	111245
129	正	ii	g	iig	ii;g	15560
130	业	ye	w	yew	ye;w	1925
131	外	wx	w	wxw	wx;w	35670
132	将	jg	y	jgy	jg;y	189390
133	两	lg	o	lgo	lg;o	8329
134	高	ga	l	gal	ga;l	65920
135	间	jc	q	jcq	jc;q	16941
136	由	yt	x	ytx	yt;x	72702
137	问	wz	j	wzj	wz;j	41500
138	很	hz	k	hzk	hz;k	86016
139	最	zk	g	zkg	zk;g	76982
140	重	iq	w	iqw	iq;w	4267
140	重	vq	w	vqw	vq;w	4267
141	并	bl	o	blo	bl;o	132093
142	物	wj	w	wjw	wj;w	4443
143	手	ut	q	utq	ut;q	19455
144	应	yl	q	ylq	yl;q	11625
145	战	io	w	iow	io;w	4394
146	向	xg	q	xgq	xg;q	60969
147	头	tt	j	ttj	tt;j	15577
148	文	wz	x	wzx	wz;x	8884
149	体	tn	j	tnj	tn;j	5155
150	政	ii	w	iiw	ii;w	649
151	美	mp	w	mpw	mp;w	13710
152	相	xg	j	xgj	xg;j	4412
153	见	jc	j	jcj	jc;j	15838
154	被	bp	l	bpl	bp;l	307050
155	利	ln	x	lnx	ln;x	2674
156	什	uz	x	uzx	uz;x	765
157	二	ah	x	ahx	ah;x	52511
158	等	di	s	dis	di;s	396005
159	产	vo	w	vow	vo;w	1992
160	或	hu	w	huw	hu;w	209059
161	新	xm	j	xmj	xm;j	49654
162	己	jn	e	jne	jn;e	681
163	制	in	e	ine	in;e	4580
164	身	uz	k	uzk	uz;k	2172
165	果	gu	r	gur	gu;r	1852
166	加	jw	k	jwk	jw;k	33613
167	西	xn	e	xne	xn;e	4125
168	斯	sn	e	sne	sn;e	3943
169	月	yf	p	yfp	yf;p	182932
170	话	hw	q	hwq	hw;q	12953
171	合	he	r	her	he;r	2950
172	回	hk	g	hkg	hk;g	13977
173	特	te	r	ter	te;r	5462
174	代	dx	r	dxr	dx;r	10664
175	内	np	g	npg	np;g	46062
176	信	xm	e	xme	xm;e	7517
177	表	br	a	bra	br;a	15517
178	化	hw	e	hwe	hw;e	15973
179	老	la	r	lar	la;r	30761
180	给	gp	g	gpg	gp;g	188201
180	给	jn	g	jng	jn;g	1883
181	世	un	q	unq	un;q	959
182	位	wp	n	wpn	wp;n	19478
183	次	cn	a	cna	cn;a	41345
184	度	dj	r	djr	dj;r	25439
185	门	mz	q	mzq	mz;q	14158
186	任	rz	k	rzk	rz;k	3573
187	常	vs	e	vse	vs;e	4999
188	先	xc	e	xce	xc;e	75337
189	海	hx	r	hxr	hx;r	3897
190	通	tq	r	tqr	tq;r	3450
191	教	jr	k	jrk	jr;k	8984
192	儿	ah	o	aho	ah;o	8237
193	原	yh	q	yhq	yh;q	22981
194	东	dq	r	dqr	dq;r	3606
195	声	ui	r	uir	ui;r	5221
196	提	tn	x	tnx	tn;x	8984
197	立	ln	j	lnj	ln;j	3160
198	及	jn	o	jno	jn;o	92194
199	比	bn	k	bnk	bn;k	168061
200	员	yh	j	yhj	yh;j	2203
201	解	jv	j	jvj	jv;j	4988
202	水	uk	r	ukr	uk;r	28276
203	名	ml	x	mlx	ml;x	23493
204	真	iz	j	izj	iz;j	30102
205	论	ld	a	lda	ld;a	15391
206	处	vj	b	vjb	vj;b	16326
207	走	zt	q	ztq	zt;q	35582
