# Yehe sound-shape single-character table.
# Source: https://github.com/qqj-jj/yehe 野鹤.txt
# Extracted no-prefix entries only; ! component codes and / stroke codes are excluded.
# Columns: code<TAB>character
aaky	吖
aakk	呵
aakk	啊
aakw	嗄
aaod	腌
aajk	錒
aajk	锕
aaek	阿
airk	㑸
aiic	㕌
aiky	㗒
aikk	㗨
aitx	㘷
aisc	㝶
aigk	㢊
aiax	㤅
aida	㱯
aiby	㿄
aiou	䀳
aihm	䅬
aiob	䑂
aicv	䔽
aiot	䝽
aiyv	䨠
airr	䬵
aiva	䶣
airv	伌
airw	僾
aida	凒
aiey	叆
aiwy	哀
aikx	哎
aiku	唉
aikt	啀
aikm	嗌
aiky	嗳
aikt	嘊
aikw	噯
aitu	埃
aitv	堨
aitm	塧
aitm	壒
ainu	娭
aint	娾
ainy	嫒
ainw	嬡
aiea	嵦
aipw	愛
aiuw	懓
aixr	懝
aifu	挨
aift	捱
aimu	騃
aiey	敱
aiew	敳
aioy	昹
aioy	暧
aiow	曖
aiwr	欬
aisr	欸
aiuw	毐
aida	溰
aidg	溾
aidm	濭
aihv	焥
aipy	爱
aiwy	瑷
aiww	璦
aibe	癌
aibj	皑
aiba	皚
aibw	皧
aiow	瞹
aiun	矮
aiux	砹
aiur	硋
aiuj	硙
aiuc	碍
aiua	磑
aiur	礙
aiyo	絠
aicx	艾
aicv	蔼
aicw	薆
aicv	藹
aiwx	諰
aiwv	譪
aiwr	譺
aiom	賹
aiun	躷
aijx	銰
aijy	鎄
aijw	鑀
aijy	锿
aiea	隑
aiem	隘
aiyv	霭
aiyv	靄
aiyw	靉
airv	餲
aihv	馤
aiaw	鱫
aicn	鴱
anny	㜝
aneg	㟁
aniv	㱘
anng	㸩
antd	㽢
anod	䁆
anbh	䅁
anhd	䅖
anrx	䎏
anld	䎨
anwh	䜙
anrf	䨄
anjo	䬓
anmg	䮗
angh	䯥
anrn	侒
anrd	俺
anro	偣
anrh	儑
anap	厂
anig	厈
ankn	咹
ankd	唵
ankc	啽
antn	垵
antd	埯
antg	堓
annc	媕
anbn	安
anei	屵
aneg	屽
aneg	岸
anen	峖
andi	广
angd	庵
anfn	按
anfo	揞
anod	晻
anoo	暗
anbm	案
anmn	桉
anqn	氨
andn	洝
anqg	犴
anwg	玵
anbd	痷
anrm	盦
anrm	盫
anso	罯
anon	胺
anoo	腤
ancn	荌
ancd	菴
anco	萻
ancc	葊
ancd	蓭
anpd	裺
anwk	誝
anwp	諳
anyo	谙
anvg	豻
anvg	貋
anjn	銨
anjg	錌
anjn	铵
anmo	闇
aneo	隌
anyg	雸
anbg	鞌
angn	鞍
anro	韽
anhd	馣
anan	鮟
andn	鵪
anln	鶕
andn	鹌
anho	黯
ahog	㦹
ahme	㭿
ahyw	㼜
ahoe	䀚
ahyw	䍩
ahce	䒢
ahge	䩕
ahjo	䬓
ahme	䭹
ahmj	䭺
ahre	仰
ahpe	卬
ahee	岇
ahoe	昂
ahoe	昻
ahme	枊
ahym	盎
ahoj	肮
ahym	醠
ahgj	骯
aorl	㑃
aoky	㕭
aots	㘬
aotv	㘭
aonw	㜜
aond	㜩
aoew	㟼
aoew	㠂
aoed	㠗
aoxy	㤇
aofx	㥿
aowy	㿰
aood	䐿
aoby	䚫
aowd	䜒
aoty	䞝
aojb	䥝
aoaw	䦋
aofb	䫨
aomw	䮯
aogm	䯠
aopn	䴈
aofw	䵅
aorw	傲
aola	凹
aoiw	厫
aokw	嗷
aofk	嗸
aokk	嚣
aotl	坳
aota	垇
aotd	墺
aotw	墽
aoal	奡
aopd	奥
aopd	奧
aonm	媪
aonm	媼
aofn	嫯
aoye	岙
aoel	岰
aofe	嶅
aope	嶴
aogw	廒
aoxw	慠
aoxd	懊
aofy	扷
aofv	抝
aofl	拗
aofu	摮
aofd	擙
aofw	敖
aoml	柪
aomb	梎
aodl	泑
aodw	滶
aodv	澚
aodd	澳
aohb	熝
aofh	熬
aohh	爊
aofq	獒
aoqw	獓
aoww	璈
aool	眑
aouw	磝
aobx	翱
aobx	翶
aozx	翺
aofe	聱
aoal	艹
aocy	芺
aocw	蔜
aofi	螯
aopy	袄
aopd	襖
aofk	謷
aoww	謸
aoil	軪
aozw	遨
aoxe	郩
aofj	鏊
aojb	鏕
aogj	鏖
aoay	镺
aoew	隞
aoed	隩
aofm	驁
aofm	骜
aofa	鰲
aofa	鳌
aofn	鷔
aofv	鼇
bapl	㔜
bakx	㖠
baub	㞎
bafl	㧊
bado	㶚
bauo	䃻
bahb	䆉
balu	䇑
bals	䎬
balb	䎱
bazy	䟦
bajb	䥯
bago	䩗
bagm	䩻
baab	䰾
baau	䱝
band	䳁
baun	䳊
badp	丷
barb	仈
barb	伯
bapn	八
bapy	叐
bakb	叭
bakb	吧
bakz	哱
bakd	哵
batr	坝
batb	垻
bato	壩
badb	夿
band	妭
baeb	岜
baek	峇
bavv	巴
basl	巴
bagb	弝
bafb	扒
bafy	扷
bafb	把
bafy	抜
bafd	拔
bafd	捌
bamb	朳
bamd	柭
bamo	欛
bado	灞
bahd	炦
babb	爸
baud	犮
bawb	玐
babb	疤
bavy	癹
babb	皅
baub	矲
bavb	笆
bamb	粑
bass	罢
basb	罷
bayb	羓
balb	耙
baod	胈
bacb	芭
bacd	茇
bacd	菝
baib	蚆
baxo	覇
bawd	詙
baub	豝
bazb	跁
bazd	跋
baid	軷
bajb	釟
bajb	鈀
bajb	钯
bayo	霸
bagb	靶
bajd	颰
bagd	魃
baar	魞
baad	鮁
baab	鮊
baab	鲃
baad	鲅
baab	鲌
bajd	鼥
bdbd	㓦
bdkf	㗑
bdku	㗗
bdeu	㠔
bdfu	㧳
bdbw	㼟
bdbw	㼣
