# text	codes
〇	ll#33
㑇	it#26
㑊	yn#124
㕮	fj#90
㘎	ho#36
㙍	du#21
㙘	ya#38
㙦	xv#44
㛃	jv#50
㛚	tq#29
㛹	pc#12
㟃	sn#37
㠇	jb#27
㠓	mi#21
㤘	it#27
㥄	ll#34
㧐	sq#17
㧑	hk#46
㧟	kl#13
㨃	dk#8
㫰	ls#21
㬊	hh#34
㬎	xc#55
㬚	ve#8
㭎	gs#16
㭕	qj#40
㮾	ls#22
㰀	ln#82
㳇	fj#91
㳘	vq#19
㳚	xj#42
㴔	jn#116
㵐	jf#28
㶲	yq#28
㸆	ka#10
㸌	hu#24
㺄	yj#108
㻬	tj#21
㽏	go#27
㿠	hg#31
䁖	lt#15
䂮	lf#5
䃅	dn#48
䃎	iy#33
䅟	co#12
䌹	jq#11
䎃	ro#8
䎖	zi#11
䏝	ih#14
䏡	un#77
䏲	tn#31
䐃	jd#23
䓖	qq#9
䓛	qj#41
䓨	yl#41
䓫	qn#86
䓬	iu#26
䗖	dn#49
䗛	xb#23
䗪	ie#24
䗴	tl#25
䜣	xm#20
䝙	vj#33
䢺	vj#34
䢼	gq#20
䣘	ts#27
䥽	pu#20
䦃	iu#27
䲟	ym#44
䲠	vd#11
䲢	ti#9
䴓	un#78
䴔	jr#54
䴕	lv#15
䴖	jl#47
䴗	jj#64
䴘	tn#32
䴙	pn#48
䶮	yo#77
一	yn' / yn;i
一一过问	yn yn gu wz
一万	yn wo
一万个	yn wo ge
一万年	yn wo nc
一下	yn xw
一下午	yn xw wj
一下子	yn xw zn
一不小心	yn bj xr xm
一不留神	yn bj lb uz
一专多能	yn ih du ni
一丘之貉	yn qb in ha
一丝一毫	yn sn yn ha
一丝不挂	yn sn bj gw
一丝不苟	yn sn bj gt
一两个	yn lg ge
一两个月	yn lg ge yf
一两句	yn lg jj
一两句话	yn lg jj hw
一两回	yn lg hk
一两天	yn lg tc
一两岁	yn lg sk
一两年	yn lg nc
一两次	yn lg cn
一两点	yn lg dc
一两点钟	yn lg dc iq
一个	yn ge
一个一个	yn ge yn ge
一个上午	yn ge us wj
一个下午	yn ge xw wj
一个世纪	yn ge un jn
一个两个	yn ge lg ge
一个个	yn ge ge
一个二个	yn ge ah ge
一个人	yn ge rz
一个例子	yn ge ln zn
一个劲	yn ge jm
一个劲儿	yn ge jm ah
一个半	yn ge bo
一个原因	yn ge yh ym
一个多小时	yn ge du xr un
一个多星期	yn ge du xl qn
一个多月	yn ge du yf
一个多钟	yn ge du iq
一个天上一个地下	yn ge tc us yn ge dn xw
一个头两个大	yn ge tt lg ge dy
一个字	yn ge zn
一个小时	yn ge xr un
一个巴掌拍不响	yn ge by is px bj xg
一个手指	yn ge ut in
一个手指头	yn ge ut in tt
一个接一个	yn ge jv yn ge
一个方面	yn ge fs mc
一个星期	yn ge xl qn
一个晚上	yn ge wo us
一个月	yn ge yf
一个机会	yn ge jn hk
一个来回	yn ge lx hk
一个梦	yn ge mi
一个模子	yn ge mu zn
一个比一个	yn ge bn yn ge
一个礼拜	yn ge ln bx
一个萝卜一个坑	yn ge lu bj yn ge ki
一个词	yn ge cn
一个钟	yn ge iq
一个钟头	yn ge iq tt
一个问题	yn ge wz tn
一个顶俩	yn ge dl lw
一个鼻孔出气	yn ge bn kq vj qn
一举一动	yn jj yn dq
一举两得	yn jj lg de
一举成名	yn jj vi ml
一了百了	yn lr bx lr
一争高下	yn ii ga xw
一事无成	yn un wj vi
一二月份	yn ah yf fz
一五一十	yn wj yn un
一些	yn xv
一亩三分地	yn mj so fz dn
一人之下	yn rz in xw
一人做事一人当	yn rz zu un yn rz ds
一人得道	yn rz de da
一代	yn dx
一代人	yn dx rz
一代天骄	yn dx tc jr
一代风流	yn dx fi lb
一份	yn fz
一会儿	yn hk ah
一会就好	yn hk jb ha
一传十十传百	yn vh un un vh bx
一倍	yn bp
一公分	yn gq fz
一共	yn gq
一兵一卒	yn bl yn zj
一再强调	yn zx qg dr
一决雌雄	yn jf cn xq
一决高下	yn jf ga xw
一冷一热	yn li yn re
一刀两断	yn da lg dh
一刀切	yn da qv
一分一秒	yn fz yn mr
一分为二	yn fz wp ah
一分价钱一分货	yn fz jw qc yn fz hu
一分收获	yn fz ut hu
一分耕耘	yn fz gi yd
一分货	yn fz hu
一分钟	yn fz iq
一分钱	yn fz qc
一分钱一分货	yn fz qc yn fz hu
一切	yn qv
一切尽在不言中	yn qv jm zx bj yo iq
一切皆有可能	yn qv jv yt ke ni
一切都有可能	yn qv dt yt ke ni
一切随缘	yn qv sk yh
一列	yn lv
一则	yn ze
一别	yn bv
一刹那	yn uy ny
一刻千金	yn ke qc jm
一刻钟	yn ke iq
一前一后	yn qc yn ht
一力承当	yn ln vi ds
一力降十会	yn ln xg un hk
一动不动	yn dq bj dq
一动不如一静	yn dq bj rj yn jl
一劳永逸	yn la yq yn
一匹	yn pn'
一千个	yn qc ge
一千年	yn qc nc
一厢情愿	yn xg ql yh
一去不复返	yn qj bj fj fo
一反常态	yn fo vs tx
一发不可收	yn fy bj ke ut
一发千钧	yn fy qc jd
一口	yn kt
一口咬定	yn kt ya dl
一口气	yn kt qn
一句话	yn jj hw
一只手	yn in ut
一台	yn tx
一叶知秋	yn ye in qb
一叶障目	yn ye is mj
一号	yn ha
一名	yn ml
一吐为快	yn tj wp kl
一向以	yn xg yn
一向如此	yn xg rj cn
一周	yn it
一周一次	yn it yn cn
一呼百应	yn hj bx yl
一命呜呼	yn ml wj hj
一品	yn pm
一哄而上	yn hq ah us
一哄而散	yn hq ah so
一哄而起	yn hq ah qn
一哭二闹三上吊	yn kj ah na so us dr
一唱一和	yn vs yn he
一回	yn hk
一回事	yn hk un
一团乱麻	yn th lh my
一团和气	yn th he qn
一团漆黑	yn th qn hp
一团糟	yn th za
一国两制	yn gu lg in
一圈	yn qh
一地鸡毛	yn dn jn ma
一场空	yn vs kq
一块	yn kl
一块石头落了地	yn kl un tt lu le dn
一堆	yn dk
一塌糊涂	yn ty hj tj
一声不吭	yn ui bj ki
一声不响	yn ui bj xg
一声令下	yn ui ll xw
一夕之间	yn xn in jc
一夜	yn ye
一夜之间	yn ye in jc
一夜回到解放前	yn ye hk da jv fs qc
一夜情	yn ye ql
一夜成名	yn ye vi ml
一夜风流	yn ye fi lb
一大串	yn dy vh
一大口	yn dy kt
一大堆	yn dy dk
一大帮	yn dy bs
一大截	yn dy jv
一大批	yn dy pn
一大把	yn dy by
一大摞	yn dy lu
一大早	yn dy za
一大波	yn dy bu
一大片	yn dy pc
一大群	yn dy qd
一天	yn tc
一天一夜	yn tc yn ye
一天一次	yn tc yn cn
一天两天	yn tc lg tc
一天到晚	yn tc da wo
一夫一妻	yn fj yn qn
一夫多妻	yn fj du qn
一夫当关	yn fj ds gh
一失足成千古恨	yn un zj vi qc gj hz
一头	yn tt
一头雾水	yn tt wj uk
一套	yn ta
一如既往	yn rj jn ws
一字不差	yn zn bj vy
一字不漏	yn zn bj lt
一字千金	yn zn qc jm
一字长蛇阵	yn zn vs ue iz
一宗	yn zq
一官半职	yn gh bo in
一定	yn dl
一定会	yn dl hk
一定可以	yn dl ke yn
一定条件下	yn dl tr jc xw
一定程度	yn dl vi dj
一定程度上	yn dl vi dj us
一定范围	yn dl fo wp
一定要	yn dl ya
一客不烦二主	yn ke bj fo ah ij
一家	yn jw
一家三口	yn jw so kt
一家之主	yn jw in ij
一家之言	yn jw in yo
一家人	yn jw rz
一家人不说两家话	yn jw rz bj uu lg jw hw
一家老小	yn jw la xr
一寸光阴一寸金	yn cd gg ym yn cd jm
一封	yn fi
一封信	yn fi xm
一将功成万骨枯	yn jg gq vi wo gj kj
一将难求	yn jg no qb
一小撮	yn xr cu
一小时	yn xr un
一尘不染	yn vz bj ro
一尸两命	yn un lg ml
一屁股债	yn pn gj ix
一层	yn ci
一届	yn jv
一展风采	yn io fi cx
一岁	yn sk
一左一右	yn zu yn yt
一差二错	yn vy ah cu
一己之私	yn jn in sn
一己私利	yn jn sn ln
一帆风顺	yn fo fi ud
一带一路	yn dx yn lj
一席之地	yn xn in dn
一席话	yn xn hw
一席谈	yn xn to
一帮	yn bs
一幕	yn mj
一幕幕	yn mj mj
一干二净	yn go ah jl
一年一度	yn nc yn dj
一年一次	yn nc yn cn
一年到头	yn nc da tt
一年半载	yn nc bo zx
一年又一年	yn nc yt yn nc
一年四季	yn nc sn jn
一年级	yn nc jn
一并	yn bl
一应俱全	yn yl jj qh
一度	yn dj
一座	yn zu
一张	yn is
一张一弛	yn is yn vn
一往情深	yn ws ql uz
一往无前	yn ws wj qc
一律	yn lk
一心一意	yn xm yn yn
一心不能二用	yn xm bj ni ah yq
一心二用	yn xm ah yq
一心只读圣贤书	yn xm in dj ui xc uj
一念之差	yn nc in vy
一念之间	yn nc in jc
一念至此	yn nc in cn
一怒之下	yn nj in xw
一息尚存	yn xn us cd
一惊一乍	yn jl yn iy
一意孤行	yn yn gj xl
一愣	yn li
一成不变	yn vi bj bc
一所	yn su
一手交货	yn ut jr hu
一手交钱	yn ut jr qc
一手包办	yn ut ba bo
一手托天	yn ut tu tc
一手策划	yn ut ce hw
一手遮天	yn ut ie tc
一扫而光	yn sa ah gg
一扫而空	yn sa ah kq
一批	yn pn
一技之长	yn jn in vs
一把	yn by
一把屎一把尿	yn by un yn by nr
一把年纪	yn by nc jn
一把手	yn by ut
一把鼻涕一把泪	yn by bn tn yn by lp
一抔黄土	yn pt hg tj
一报还一报	yn ba hh yn ba
一抹	yn mu
一抹亮色	yn mu lg se
一抹黑	yn mu hp
一拍两散	yn px lg so
一拍即合	yn px jn he
一招一式	yn ia yn un
一拥而上	yn yq ah us
一拥而入	yn yq ah rj
一拼之力	yn pm in ln
一指禅	yn in vo
一挡	yn ds
一挥而就	yn hk ah jb
一损俱损	yn sd jj sd
一排	yn px
一探究竟	yn to jb jl
一掷千金	yn in qc jm
一揽子	yn lo zn
一整天	yn ii tc
一文不值	yn wz bj in
一文不名	yn wz bj ml
一斤	yn jm
一方水土养一方人	yn fs uk tj ys yn fs rz
一方面	yn fs mc
一旁	yn ps
一无可取	yn wj ke qj
一无所取	yn wj su qj
一无所得	yn wj su de
一无所有	yn wj su yt
一无所知	yn wj su in
一无所能	yn wj su ni
一无所获	yn wj su hu
一无所长	yn wj su vs
一无是处	yn wj un vj
一无长物	yn wj vs wj
一日	yn rn
一日一次	yn rn yn cn
一日三省	yn rn so xl
一日三秋	yn rn so qb
一日三餐	yn rn so co
一日不见	yn rn bj jc
一日不见如隔三秋	yn rn bj jc rj ge so qb
一日千里	yn rn qc ln
一日夫妻百日恩	yn rn fj qn bx rn er
一旦	yn do
一早	yn za
一时三刻	yn un so ke
一时之间	yn un in jc
一时兴起	yn un xl qn
一时冲动	yn un vq dq
一时半会	yn un bo hk
一时无两	yn un wj lg
一时糊涂	yn un hj tj
一星期	yn xl qn
一晃	yn hg
一晚上	yn wo us
一曝十寒	yn ba un ho
一曲	yn qj
一月	yn yf
一月一次	yn yf yn cn
一月份	yn yf fz
一望无垠	yn ws wj ym
一望无际	yn ws wj jn
一朝一夕	yn ia yn xn
一朝权在手	yn ia qh zx ut
一朝被蛇咬	yn ia bp ue ya
一本	yn bz
一本万利	yn bz wo ln
一本正经	yn bz ii jl
一朵	yn du
一条	yn tr
一条条	yn tr tr
一条路	yn tr lj
一条路跑到黑	yn tr lj pa da hp
一条道跑到黑	yn tr da pa da hp
一条龙	yn tr lq
一来二去	yn lx ah qj
一枕黄粱	yn iz hg lg
一枚	yn mp
一枝独秀	yn in dj xb
一枝花	yn in hw
一枪	yn qg
一柱擎天	yn ij ql tc
一样	yn ys
一根	yn gz
一根筋	yn gz jm
一桩心事	yn ig xm un
一棍子打死	yn gd zn dy sn
一概	yn gx
一概而论	yn gx ah ld
一模一样	yn mu yn ys
一次	yn cn
一次性	yn cn xl
一次次	yn cn cn
一款	yn kh
一步	yn bj
一步一步	yn bj yn bj
一步三回头	yn bj so hk tt
一步之遥	yn bj in ya
一步到位	yn bj da wp
一步步	yn bj bj
一步登天	yn bj di tc
一死了之	yn sn le in
一死百了	yn sn bx lr
一段	yn dh
一段时间	yn dh un jc
一段话	yn dh hw
一比吓一跳	yn bn xw yn tr
一毛不拔	yn ma bj by
一毛钱	yn ma qc
一气之下	yn qn in xw
一气呵成	yn qn he vi
一氧化碳	yn ys hw to
一波三折	yn bu so ie
一波未平	yn bu wp pl
一波未平一波又起	yn bu wp pl yn bu yt qn
一泻千里	yn xv qc ln
一派胡言	yn px hj yo
一清二楚	yn ql ah vj
一清二白	yn ql ah bx
一潭死水	yn to sn uk
一炮而红	yn pa ah hq
一炷香	yn ij xg
一点	yn dc
一点一滴	yn dc yn dn
一点也不	yn dc ye bj
一点儿	yn dc ah
一点就着	yn dc jb ie
一点点	yn dc dc
一片	yn pc
一片光明	yn pc gg ml
一片冰心	yn pc bl xm
一片冰心在玉壶	yn pc bl xm zx yj hj
一片哗然	yn pc hw ro
一片坦途	yn pc to tj
一片汪洋	yn pc ws ys
一片混乱	yn pc hd lh
一片焦土	yn pc jr tj
一片片	yn pc pc
一片狼藉	yn pc ls jn
一片生机	yn pc ui jn
一片空白	yn pc kq bx
一物降一物	yn wj xg yn wj
一环	yn hh
一瓶	yn pl
一生一世	yn ui yn un
一生何求	yn ui he qb
一男一女	yn no yn nk
一番	yn fo
一番口舌	yn fo kt ue
一番话	yn fo hw
一病不起	yn bl bj qn
一瘸一拐	yn qf yn gl
一百	yn bx
一盆	yn pz
一盏灯	yn io di
一盒	yn he
一盘	yn po
一盘散沙	yn po so uy
一目了然	yn mj lr ro
一目十行	yn mj un hs
一直	yn in
一直以来	yn in yn lx
一看	yn ko
一看到	yn ko da
