# text	codes
Biu	bb
〇	ll#34
㑇	it#28
㑊	yn#126
㕮	fj#91
㘎	ho#37
㙍	du#23
㙘	ya#38
㙦	xv#47
㛃	jv#51
㛚	tq#29
㛹	pc#14
㟃	sn#37
㠇	jb#28
㠓	mi#23
㤘	it#29
㥄	ll#35
㧐	sq#18
㧑	hk#47
㧟	kl#13
㨃	dk#8
㫰	ls#21
㬊	hh#35
㬎	xc#55
㬚	ve#9
㭎	gs#17
㭕	qj#43
㮾	ls#22
㰀	ln#84
㳇	fj#92
㳘	vq#19
㳚	xj#43
㴔	jn#118
㵐	jf#30
㶲	yq#29
㸆	ka#10
㸌	hu#25
㺄	yj#111
㻬	tj#22
㽏	go#27
㿠	hg#31
䁖	lt#17
䂮	lf#5
䃅	dn#48
䃎	iy#35
䅟	co#12
䌹	jq#11
䎃	ro#8
䎖	zi#11
䏝	ih#14
䏡	un#79
䏲	tn#33
䐃	jd#24
䓖	qq#9
䓛	qj#44
䓨	yl#42
䓫	qn#88
䓬	iu#27
䗖	dn#49
䗛	xb#24
䗪	ie#24
䗴	tl#25
䜣	xm#20
䝙	vj#34
䢺	vj#35
䢼	gq#20
䣘	ts#28
䥽	pu#20
䦃	iu#26
䲟	ym#44
䲠	vd#11
䲢	ti#9
䴓	un#78
䴔	jr#55
䴕	lv#15
䴖	jl#48
䴗	jj#64
䴘	tn#31
䴙	pn#49
䶮	yo#77
一	y / yn' / yni
一一过问	yygw / ynynguwz
一万	ynwo
一万个	ywge / ynwoge
一万年	ywnc / ynwonc
一下	yx / ynxw
一下午	yxwj / ynxwwj
一下子	yxzn / ynxwzn
一不小心	ybxx / ynbjxrxm
一不留神	yblu / ynbjlbuz
一专多能	yidn / ynihduni
一丘之貉	yqih / ynqbinha
一丝一毫	ysyh / ynsnynha
一丝不挂	ysbg / ynsnbjgw
一丝不苟	ysbg' / ynsnbjgt
一两个	ylge / ynlgge
一两个月	ylgy / ynlggeyf
一两句	yljj' / ynlgjj
一两句话	yljh / ynlgjjhw
一两回	ylhk' / ynlghk
一两天	yltc / ynlgtc
一两岁	ylsk / ynlgsk
一两年	ylnc / ynlgnc
一两次	ylcn / ynlgcn
一两点	yldc / ynlgdc
一两点钟	yldi / ynlgdciq
一个	ynge
一个一个	ygyg / yngeynge
一个上午	yguw / yngeuswj
一个下午	ygxw / yngexwwj
一个世纪	yguj / yngeunjn
一个两个	yglg / yngelgge
一个个	ygge / yngege
一个二个	ygag / yngeahge
一个人	ygrz / yngerz
